ds,yhat,yhat_lower,yhat_upper,Actual Sales
2017-10-21,24519.473398541566,8747.895395786158,40595.95966066468,21178.57
2017-10-22,25488.333716228408,9786.52045418718,40985.58517850975,27596.01
2017-10-23,35324.91440185136,19309.76096756055,50592.56207550721,32094.88
2017-10-24,35353.150327166164,18901.569642539453,50800.463315959045,34786.67
2017-10-25,33731.84802070728,17717.7663097935,49156.871092529924,27244.53
2017-10-26,33098.192480750906,18207.515411431243,48833.673285534605,33186.76
2017-10-27,32650.03057694222,17362.98881821727,49141.29304527531,33372.11
2017-10-28,24108.110351298714,7841.699418710203,39610.6362809801,21446.989999999998
2017-10-29,25332.27013750718,9917.975640321532,41366.999904690914,27758.73
2017-10-30,35479.46225185229,18967.316312206403,50403.8285227584,29972.8
2017-10-31,35874.638012035204,19176.029221674013,50896.09727350297,38658.28
2017-11-01,34676.247395326856,19081.6730949553,50558.65105386778,31543.41
2017-11-02,34519.653803738314,17788.6737567474,49195.13788094227,29381.82
2017-11-03,34599.36156323491,18547.8108348546,51057.01458595734,37757.76
2017-11-04,26631.23824179617,11161.276548853823,42972.209467646986,39794.65
